Buffalo,Florida,10/25/2013
Vancouver,St. Louis,10/25/2013
Carolina,Colorado,10/25/2013
Buffalo,Tampa Bay,10/26/2013
New Jersey,Boston,10/26/2013
NY Rangers,Detroit,10/26/2013
Philadelphia,NY Islanders,10/26/2013
Pittsburgh,Toronto,10/26/2013
San Jose,Montreal,10/26/2013
Winnipeg,Dallas,10/26/2013
Minnesota,Chicago,10/26/2013
St. Louis,Nashville,10/26/2013
Edmonton,Phoenix,10/26/2013
Washington,Calgary,10/26/2013
San Jose,Ottawa,10/27/2013
Tampa Bay,Florida,10/27/2013
Anaheim,Columbus,10/27/2013
Winnipeg,Colorado,10/27/2013
Edmonton,Los Angeles,10/27/2013
Dallas,Buffalo,10/28/2013
Pittsburgh,Carolina,10/28/2013
Montreal,NY Rangers,10/28/2013
Chicago,Minnesota,10/28/2013
Washington,Vancouver,10/28/2013
Anaheim,Philadelphia,10/29/2013
Dallas,Montreal,10/29/2013
NY Rangers,NY Islanders,10/29/2013
Tampa Bay,New Jersey,10/29/2013
Ottawa,Chicago,10/29/2013
Winnipeg,St. Louis,10/29/2013
Toronto,Edmonton,10/29/2013
Los Angeles,Phoenix,10/29/2013
Boston,Pittsburgh,10/30/2013
Toronto,Calgary,10/30/2013
Detroit,Vancouver,10/30/2013
San Jose,Los Angeles,10/30/2013
Anaheim,Boston,10/31/2013
Buffalo,NY Rangers,10/31/2013
Nashville,Phoenix,10/31/2013
Columbus,Pittsburgh,11/1/2013
Tampa Bay,Carolina,11/1/2013
Washington,Philadelphia,11/1/2013
NY Islanders,Ottawa,11/1/2013
St. Louis,Florida,11/1/2013
Montreal,Minnesota,11/1/2013
Colorado,Dallas,11/1/2013
Detroit,Calgary,11/1/2013
Chicago,Winnipeg,11/2/2013
Nashville,Los Angeles,11/2/2013
Anaheim,Buffalo,11/2/2013
Boston,NY Islanders,11/2/2013
Carolina,NY Rangers,11/2/2013
Florida,Washington,11/2/2013
Philadelphia,New Jersey,11/2/2013
Pittsburgh,Columbus,11/2/2013
St. Louis,Tampa Bay,11/2/2013
Toronto,Vancouver,11/2/2013
Detroit,Edmonton,11/2/2013
Montreal,Colorado,11/2/2013
Phoenix,San Jose,11/2/2013
Dallas,Ottawa,11/3/2013
Calgary,Chicago,11/3/2013
New Jersey,Minnesota,11/3/2013
Anaheim,NY Rangers,11/4/2013
Detroit,Winnipeg,11/4/2013
Dallas,Boston,11/5/2013
NY Islanders,Washington,11/5/2013
Ottawa,Columbus,11/5/2013
Edmonton,Florida,11/5/2013
Philadelphia,Carolina,11/5/2013
St. Louis,Montreal,11/5/2013
Calgary,Minnesota,11/5/2013
Vancouver,Phoenix,11/5/2013
Buffalo,San Jose,11/5/2013
Pittsburgh,NY Rangers,11/6/2013
Winnipeg,Chicago,11/6/2013
Nashville,Colorado,11/6/2013
Phoenix,Anaheim,11/6/2013
Florida,Boston,11/7/2013
Minnesota,Washington,11/7/2013
Montreal,Ottawa,11/7/2013
New Jersey,Philadelphia,11/7/2013
NY Islanders,Carolina,11/7/2013
NY Rangers,Columbus,11/7/2013
Dallas,Detroit,11/7/2013
Edmonton,Tampa Bay,11/7/2013
Calgary,St. Louis,11/7/2013
Buffalo,Los Angeles,11/7/2013
Vancouver,San Jose,11/7/2013
New Jersey,Toronto,11/8/2013
Nashville,Winnipeg,11/8/2013
Calgary,Colorado,11/8/2013
Buffalo,Anaheim,11/8/2013
Edmonton,Philadelphia,11/9/2013
Florida,Ottawa,11/9/2013
Minnesota,Carolina,11/9/2013
NY Islanders,Columbus,11/9/2013
Tampa Bay,Detroit,11/9/2013
Toronto,Boston,11/9/2013
Chicago,Dallas,11/9/2013
Pittsburgh,St. Louis,11/9/2013
Washington,Phoenix,11/9/2013
Vancouver,Los Angeles,11/9/2013
NY Islanders,Montreal,11/10/2013
Edmonton,Chicago,11/10/2013
Florida,NY Rangers,11/10/2013
Nashville,New Jersey,11/10/2013
San Jose,Winnipeg,11/10/2013
Vancouver,Anaheim,11/10/2013
Washington,Colorado,11/10/2013
Tampa Bay,Boston,11/11/2013
Colorado,Carolina,11/12/2013
Columbus,Washington,11/12/2013
Los Angeles,Buffalo,11/12/2013
Nashville,NY Islanders,11/12/2013
New Jersey,NY Rangers,11/12/2013
Anaheim,Florida,11/12/2013
Philadelphia,Ottawa,11/12/2013
Tampa Bay,Montreal,11/12/2013
Winnipeg,Detroit,11/12/2013
Phoenix,St. Louis,11/12/2013
San Jose,Calgary,11/12/2013
Toronto,Minnesota,11/13/2013
Philadelphia,Pittsburgh,11/13/2013
Dallas,Edmonton,11/13/2013
Columbus,Boston,11/14/2013
Los Angeles,NY Islanders,11/14/2013
Anaheim,Tampa Bay,11/14/2013
Colorado,St. Louis,11/14/2013
Phoenix,Chicago,11/14/2013
Dallas,Calgary,11/14/2013
San Jose,Vancouver,11/14/2013
Anaheim,Carolina,11/15/2013
Los Angeles,New Jersey,11/15/2013
Montreal,Columbus,11/15/2013
Nashville,Pittsburgh,11/15/2013
Toronto,Buffalo,11/15/2013
Boston,Ottawa,11/15/2013
Washington,Detroit,11/15/2013
Florida,Minnesota,11/15/2013
Philadelphia,Winnipeg,11/15/2013
San Jose,Edmonton,11/15/2013
Buffalo,Toronto,11/16/2013
Detroit,NY Islanders,11/16/2013
NY Rangers,Montreal,11/16/2013
Pittsburgh,New Jersey,11/16/2013
Carolina,St. Louis,11/16/2013
Chicago,Nashville,11/16/2013
Tampa Bay,Phoenix,11/16/2013
Florida,Colorado,11/16/2013
Edmonton,Calgary,11/16/2013
Columbus,Ottawa,11/17/2013
St. Louis,Washington,11/17/2013
Los Angeles,NY Rangers,11/17/2013
San Jose,Chicago,11/17/2013
Dallas,Vancouver,11/17/2013
Winnipeg,Minnesota,11/17/2013
Boston,Carolina,11/18/2013
Anaheim,Pittsburgh,11/18/2013
Calgary,Winnipeg,11/18/2013
NY Islanders,Toronto,11/19/2013
Ottawa,Philadelphia,11/19/2013
St. Louis,Buffalo,11/19/2013
Boston,NY Rangers,11/19/2013
